user_id,domain_expertise,usability_rating,explanation_clarity,trust_score,comments
user_01,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_02,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_03,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_04,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_05,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_06,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_07,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_08,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_09,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_10,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_11,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_12,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_13,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_14,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_15,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_16,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_17,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_18,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_19,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_20,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_21,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_22,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_23,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_24,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_25,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_26,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_27,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_28,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_29,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_30,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_31,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_32,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_33,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_34,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
user_35,Machine Learning / BioMed,4.8,4.7,4.9,Highly intuitive UI and clear risk breakdown.
