Model,Precision,Recall,AUPRC
SelfCheckGPT,0.5,1.0,0.8183
SelfCheckGPT,0.5034,1.0,0.8183
SelfCheckGPT,0.5068,1.0,0.8183
SelfCheckGPT,0.5088,0.9973,0.8183
SelfCheckGPT,0.5123,0.9973,0.8183
SelfCheckGPT,0.5159,0.9973,0.8183
SelfCheckGPT,0.5194,0.9973,0.8183
SelfCheckGPT,0.5217,0.9947,0.8183
SelfCheckGPT,0.5239,0.992,0.8183
SelfCheckGPT,0.5262,0.9893,0.8183
SelfCheckGPT,0.5286,0.9867,0.8183
SelfCheckGPT,0.5324,0.9867,0.8183
SelfCheckGPT,0.5348,0.984,0.8183
SelfCheckGPT,0.5387,0.984,0.8183
SelfCheckGPT,0.5426,0.984,0.8183
SelfCheckGPT,0.5467,0.984,0.8183
SelfCheckGPT,0.5507,0.984,0.8183
SelfCheckGPT,0.5549,0.984,0.8183
SelfCheckGPT,0.5576,0.9813,0.8183
SelfCheckGPT,0.5588,0.976,0.8183
SelfCheckGPT,0.5615,0.9733,0.8183
SelfCheckGPT,0.5659,0.9733,0.8183
SelfCheckGPT,0.5703,0.9733,0.8183
SelfCheckGPT,0.5717,0.968,0.8183
SelfCheckGPT,0.5746,0.9653,0.8183
SelfCheckGPT,0.5792,0.9653,0.8183
SelfCheckGPT,0.5823,0.9627,0.8183
SelfCheckGPT,0.5821,0.9547,0.8183
SelfCheckGPT,0.5869,0.9547,0.8183
SelfCheckGPT,0.5884,0.9493,0.8183
SelfCheckGPT,0.59,0.944,0.8183
SelfCheckGPT,0.595,0.944,0.8183
SelfCheckGPT,0.5966,0.9387,0.8183
SelfCheckGPT,0.6,0.936,0.8183
SelfCheckGPT,0.6034,0.9333,0.8183
SelfCheckGPT,0.607,0.9307,0.8183
SelfCheckGPT,0.6105,0.928,0.8183
SelfCheckGPT,0.6142,0.9253,0.8183
SelfCheckGPT,0.6179,0.9227,0.8183
SelfCheckGPT,0.618,0.9147,0.8183
