Model,FPR,TPR,AUC
SelfCheckGPT,0.0,0.0,0.8182
SelfCheckGPT,0.0053,0.096,0.8182
SelfCheckGPT,0.0107,0.24,0.8182
SelfCheckGPT,0.0213,0.2693,0.8182
SelfCheckGPT,0.0267,0.288,0.8182
SelfCheckGPT,0.0373,0.2987,0.8182
SelfCheckGPT,0.0427,0.3413,0.8182
SelfCheckGPT,0.0587,0.368,0.8182
SelfCheckGPT,0.064,0.408,0.8182
SelfCheckGPT,0.072,0.424,0.8182
SelfCheckGPT,0.0773,0.44,0.8182
SelfCheckGPT,0.0853,0.4507,0.8182
SelfCheckGPT,0.0907,0.464,0.8182
SelfCheckGPT,0.1067,0.5173,0.8182
SelfCheckGPT,0.112,0.552,0.8182
SelfCheckGPT,0.1227,0.5573,0.8182
SelfCheckGPT,0.128,0.5707,0.8182
SelfCheckGPT,0.1467,0.5813,0.8182
SelfCheckGPT,0.1547,0.6,0.8182
SelfCheckGPT,0.1653,0.616,0.8182
SelfCheckGPT,0.1733,0.6427,0.8182
SelfCheckGPT,0.1813,0.6533,0.8182
SelfCheckGPT,0.1973,0.672,0.8182
SelfCheckGPT,0.208,0.6827,0.8182
SelfCheckGPT,0.216,0.696,0.8182
SelfCheckGPT,0.2347,0.7067,0.8182
SelfCheckGPT,0.24,0.7253,0.8182
SelfCheckGPT,0.2587,0.7307,0.8182
SelfCheckGPT,0.264,0.744,0.8182
SelfCheckGPT,0.2827,0.752,0.8182
SelfCheckGPT,0.296,0.7707,0.8182
SelfCheckGPT,0.3093,0.7893,0.8182
SelfCheckGPT,0.328,0.8027,0.8182
SelfCheckGPT,0.3413,0.816,0.8182
SelfCheckGPT,0.36,0.8267,0.8182
SelfCheckGPT,0.3813,0.8373,0.8182
SelfCheckGPT,0.392,0.848,0.8182
SelfCheckGPT,0.4107,0.8587,0.8182
SelfCheckGPT,0.416,0.8667,0.8182
SelfCheckGPT,0.4533,0.8773,0.8182
SelfCheckGPT,0.4827,0.8907,0.8182
SelfCheckGPT,0.496,0.9013,0.8182
SelfCheckGPT,0.5147,0.9093,0.8182
SelfCheckGPT,0.5653,0.9147,0.8182
SelfCheckGPT,0.576,0.9253,0.8182
SelfCheckGPT,0.6053,0.9307,0.8182
SelfCheckGPT,0.6267,0.9387,0.8182
SelfCheckGPT,0.664,0.9467,0.8182
SelfCheckGPT,0.688,0.9573,0.8182
SelfCheckGPT,0.7227,0.9653,0.8182
SelfCheckGPT,0.7653,0.976,0.8182
SelfCheckGPT,0.8613,0.984,0.8182
SelfCheckGPT,0.896,0.992,0.8182
SelfCheckGPT,0.9653,0.9973,0.8182
RAGAS,0.0,0.0,0.8702
RAGAS,0.0053,0.0267,0.8702
RAGAS,0.0107,0.1147,0.8702
RAGAS,0.024,0.1813,0.8702
RAGAS,0.0293,0.3573,0.8702
RAGAS,0.04,0.376,0.8702
RAGAS,0.0453,0.4507,0.8702
RAGAS,0.056,0.464,0.8702
RAGAS,0.0613,0.544,0.8702
RAGAS,0.072,0.5813,0.8702
RAGAS,0.0773,0.6293,0.8702
RAGAS,0.088,0.6453,0.8702
RAGAS,0.0933,0.68,0.8702
RAGAS,0.1147,0.688,0.8702
RAGAS,0.12,0.712,0.8702
