variant,accuracy,f1_score,auroc,accuracy_drop
Full HalluciSense (Proposed),1.0,1.0,1.0,0.0
Pillar 1 Only (Factual Grounding),1.0,1.0,1.0,0.0
Pillar 2 Only (Confidence Engine),1.0,1.0,1.0,0.0
Pillar 3 Only (Consistency Engine),1.0,1.0,1.0,0.0
P1 + P2 Hybrid,1.0,1.0,1.0,0.0
P1 + P3 Hybrid,1.0,1.0,1.0,0.0
P2 + P3 Hybrid,1.0,1.0,1.0,0.0
w/o Adaptive Fusion (Fixed Weights),1.0,1.0,1.0,0.0
w/o Calibration (Uncalibrated Raw),1.0,1.0,1.0,0.0
w/o CrossEncoder (Dense Only),1.0,1.0,1.0,0.0
w/o Retrieval (Zero Evidence),1.0,1.0,1.0,0.0
w/o Token Localization,1.0,1.0,1.0,0.0
w/o Root Cause Classifier,1.0,1.0,1.0,0.0
