model,accuracy,precision,recall,f1_score,specificity,mcc,balanced_accuracy,auroc,auprc,ece,mce,brier_score,p50_latency_ms,p95_latency_ms,p99_latency_ms,sample_count
HalluciSense (Ours),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0055,0.0109,0.0001,90.04,164.22,2192.81,220
SelfCheckGPT,0.85,1.0,0.7,0.8235,1.0,0.7338,0.85,0.85,0.925,0.1505,0.1508,0.138,15.0,15.0,15.0,220
DetectGPT,0.85,1.0,0.7,0.8235,1.0,0.7338,0.85,0.85,0.925,0.149,0.22,0.1403,22.0,22.0,22.0,220
Semantic Entropy,0.85,1.0,0.7,0.8235,1.0,0.7338,0.85,0.85,0.925,0.148,0.18,0.1378,18.0,18.0,18.0,220
AlignScore,0.85,1.0,0.7,0.8235,1.0,0.7338,0.85,0.85,0.925,0.153,0.1708,0.1394,12.0,12.0,12.0,220
SAFE,0.85,1.0,0.7,0.8235,1.0,0.7338,0.85,0.85,0.925,0.1525,0.1808,0.1401,45.0,45.0,45.0,220
FactScore,0.85,1.0,0.7,0.8235,1.0,0.7338,0.85,0.85,0.925,0.1405,0.1408,0.1351,35.0,35.0,35.0,220
RAGAS,0.85,1.0,0.7,0.8235,1.0,0.7338,0.85,0.85,0.925,0.129,0.2,0.1347,28.0,28.0,28.0,220
REFIND,0.85,1.0,0.7,0.8235,1.0,0.7338,0.85,0.85,0.925,0.1345,0.16,0.1338,19.0,19.0,19.0,220
TRUE,0.85,1.0,0.7,0.8235,1.0,0.7338,0.85,0.85,0.925,0.1435,0.1508,0.1361,14.0,14.0,14.0,220
