sample_id,domain,category,target_weakness,ground_truth,hybrid_score,is_detected
phase10_adv_0001,Physics,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.9243,True
phase10_adv_0002,Chemistry,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.8633,True
phase10_adv_0003,Biology,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.7834,True
phase10_adv_0004,Medicine,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.807,True
phase10_adv_0005,Mathematics,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.8029,True
phase10_adv_0006,Physics,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.8214,True
phase10_adv_0007,Chemistry,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.9283,True
phase10_adv_0008,Biology,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.7436,True
phase10_adv_0009,Medicine,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.8171,True
phase10_adv_0010,Mathematics,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.9257,True
phase10_adv_0011,Physics,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.9173,True
phase10_adv_0012,Chemistry,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.877,True
phase10_adv_0013,Biology,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.754,True
phase10_adv_0014,Medicine,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.8136,True
phase10_adv_0015,Mathematics,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.9464,True
phase10_adv_0016,Physics,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.9743,True
phase10_adv_0017,Chemistry,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.9039,True
phase10_adv_0018,Biology,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.7618,True
phase10_adv_0019,Medicine,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.9484,True
phase10_adv_0020,Mathematics,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.7621,True
phase10_adv_0021,Physics,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.8082,True
phase10_adv_0022,Chemistry,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.8118,True
phase10_adv_0023,Biology,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.8209,True
phase10_adv_0024,Medicine,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.7502,True
phase10_adv_0025,Mathematics,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,NEAR_IDENTICAL_NUMERICAL_PERTURBATION,1,0.7682,True
phase10_adv_0026,Physics,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.9163,True
phase10_adv_0027,Chemistry,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.7397,True
phase10_adv_0028,Biology,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.8221,True
phase10_adv_0029,Medicine,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.7207,True
phase10_adv_0030,Mathematics,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.84,True
phase10_adv_0031,Physics,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.7426,True
phase10_adv_0032,Chemistry,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.7289,True
phase10_adv_0033,Biology,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.9311,True
phase10_adv_0034,Medicine,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.7736,True
phase10_adv_0035,Mathematics,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.9309,True
phase10_adv_0036,Physics,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.7898,True
phase10_adv_0037,Chemistry,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.9281,True
phase10_adv_0038,Biology,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.8349,True
phase10_adv_0039,Medicine,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.8944,True
phase10_adv_0040,Mathematics,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.9733,True
phase10_adv_0041,Physics,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.7739,True
phase10_adv_0042,Chemistry,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.8841,True
phase10_adv_0043,Biology,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.7416,True
phase10_adv_0044,Medicine,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.8409,True
phase10_adv_0045,Mathematics,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.7619,True
phase10_adv_0046,Physics,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.9193,True
phase10_adv_0047,Chemistry,SUBTLE_UNIT_CONVERSION_ERROR,SUBTLE_UNIT_CONVERSION_ERROR,1,0.7478,True
