metric,baseline_p1,enhanced_p1,calibrated_hybrid_p1,delta_hybrid_vs_baseline,delta_hybrid_vs_enhanced
accuracy,0.692,1.0,0.8747,0.1827,-0.1253
precision,0.6393,1.0,1.0,0.3607,0.0
recall,0.8222,1.0,0.7389,-0.0833,-0.2611
specificity,0.5718,1.0,1.0,0.4282,0.0
f1,0.7193,1.0,0.8498,0.1305,-0.1502
balanced_accuracy,0.697,1.0,0.8694,0.1724,-0.1306
mcc,0.405,1.0,0.7716,0.3666,-0.2284
auroc,0.8281,1.0,1.0,0.1719,0.0
auprc,0.8426,1.0,1.0,0.1574,0.0
ece,0.167,0.1808,0.315,0.148,0.1342
brier_score,0.1814,0.0401,0.1977,0.0163,0.1576
