category,n,baseline_accuracy,enhanced_accuracy,hybrid_accuracy,hybrid_f1,hybrid_auroc,hybrid_precision,hybrid_recall
DIRECT_FACTUAL,60,0.6333,1.0,0.75,0.6667,1.0,1.0,0.5
NUMERICAL_PRECISION,60,0.7333,1.0,1.0,1.0,1.0,1.0,1.0
UNIT_SCALE,60,0.7833,1.0,1.0,1.0,1.0,1.0,1.0
NEGATION_POLARITY,60,0.65,1.0,1.0,1.0,1.0,1.0,1.0
CAUSAL_DIRECTION,60,0.6833,1.0,0.7833,0.7234,1.0,1.0,0.5667
CONDITIONAL_CONTEXT,60,0.6833,1.0,0.7833,0.7234,1.0,1.0,0.5667
TEMPORAL_OUTDATED,60,0.7167,1.0,0.8,0.75,1.0,1.0,0.6
MULTI_HOP,55,0.6364,1.0,0.9636,0.9583,1.0,1.0,0.92
COMPOUND_CLAIM,55,0.6,1.0,0.8,0.7179,1.0,1.0,0.56
TRUE_CORE_FALSE_ELABORATION,55,0.7455,1.0,0.8364,0.7805,1.0,1.0,0.64
CORRELATION_CAUSATION,55,0.7091,1.0,0.8364,0.7805,1.0,1.0,0.64
EXCEPTION_GENERALIZATION,55,0.6727,1.0,0.8182,0.75,1.0,1.0,0.6
QUANTITATIVE_REASONING,55,0.7455,1.0,1.0,1.0,1.0,1.0,1.0
