sample_id,original_score,perturbed_score,score_delta,absolute_delta,prediction_flipped
rob_000,0.1617,0.1529,-0.0088,0.0088,False
rob_001,0.2036,0.2137,0.01,0.01,False
rob_002,0.1928,0.218,0.0251,0.0251,False
rob_003,0.2888,0.2943,0.0055,0.0055,False
rob_004,0.2187,0.2488,0.0301,0.0301,False
rob_005,0.2344,0.2242,-0.0103,0.0103,False
rob_006,0.1042,0.1065,0.0023,0.0023,False
rob_007,0.1492,0.1373,-0.0119,0.0119,False
rob_008,0.2251,0.2058,-0.0193,0.0193,False
rob_009,0.3008,0.3191,0.0183,0.0183,False
rob_010,0.1199,0.1227,0.0028,0.0028,False
rob_011,0.2779,0.28,0.0022,0.0022,False
rob_012,0.1028,0.1021,-0.0007,0.0007,False
rob_013,0.1772,0.1737,-0.0035,0.0035,False
rob_014,0.1184,0.1337,0.0153,0.0153,False
rob_015,0.3484,0.3633,0.0149,0.0149,False
rob_016,0.1649,0.1468,-0.0181,0.0181,False
rob_017,0.1052,0.1106,0.0053,0.0053,False
rob_018,0.2116,0.2299,0.0183,0.0183,False
rob_019,0.2031,0.2,-0.0031,0.0031,False
rob_020,0.1882,0.1895,0.0013,0.0013,False
rob_021,0.2326,0.2009,-0.0317,0.0317,False
rob_022,0.1156,0.1204,0.0048,0.0048,False
rob_023,0.1921,0.1779,-0.0143,0.0143,False
rob_024,0.2254,0.2012,-0.0242,0.0242,False
rob_025,0.3069,0.3274,0.0205,0.0205,False
rob_026,0.1224,0.1084,-0.014,0.014,False
rob_027,0.3275,0.3188,-0.0087,0.0087,False
rob_028,0.232,0.2389,0.007,0.007,False
rob_029,0.2452,0.233,-0.0123,0.0123,False
rob_030,0.2942,0.2752,-0.0189,0.0189,False
rob_031,0.1856,0.1679,-0.0176,0.0176,False
rob_032,0.2728,0.277,0.0042,0.0042,False
rob_033,0.1741,0.1817,0.0076,0.0076,False
rob_034,0.3369,0.3512,0.0144,0.0144,False
rob_035,0.182,0.1768,-0.0051,0.0051,False
rob_036,0.1541,0.1575,0.0033,0.0033,False
rob_037,0.1753,0.1643,-0.011,0.011,False
rob_038,0.1891,0.2154,0.0263,0.0263,False
rob_039,0.1945,0.1948,0.0003,0.0003,False
rob_040,0.1211,0.1381,0.017,0.017,False
rob_041,0.1028,0.106,0.0031,0.0031,False
rob_042,0.1848,0.1856,0.0008,0.0008,False
rob_043,0.1248,0.1311,0.0062,0.0062,False
rob_044,0.3139,0.2988,-0.0151,0.0151,False
rob_045,0.1577,0.1476,-0.0101,0.0101,False
rob_046,0.2171,0.231,0.0139,0.0139,False
rob_047,0.1228,0.1011,-0.0217,0.0217,False
rob_048,0.2731,0.2824,0.0094,0.0094,False
rob_049,0.2743,0.2791,0.0048,0.0048,False
rob_050,0.2275,0.2255,-0.0021,0.0021,False
rob_051,0.1948,0.2129,0.0181,0.0181,False
rob_052,0.2813,0.2943,0.013,0.013,False
rob_053,0.2602,0.2533,-0.0069,0.0069,False
rob_054,0.1395,0.1683,0.0287,0.0287,False
rob_055,0.1865,0.1841,-0.0023,0.0023,False
rob_056,0.3014,0.3067,0.0052,0.0052,False
rob_057,0.3443,0.3668,0.0225,0.0225,False
rob_058,0.3162,0.3324,0.0163,0.0163,False
rob_059,0.1383,0.1387,0.0003,0.0003,False
rob_060,0.3437,0.3353,-0.0084,0.0084,False
rob_061,0.3003,0.3092,0.0089,0.0089,False
rob_062,0.1223,0.0968,-0.0255,0.0255,False
rob_063,0.3206,0.3136,-0.007,0.007,False
rob_064,0.1849,0.1895,0.0046,0.0046,False
rob_065,0.1893,0.1599,-0.0295,0.0295,False
rob_066,0.3209,0.3272,0.0063,0.0063,False
rob_067,0.1595,0.1629,0.0034,0.0034,False
rob_068,0.1904,0.1813,-0.0092,0.0092,False
rob_069,0.3099,0.3342,0.0244,0.0244,False
rob_070,0.2012,0.2003,-0.0009,0.0009,False
rob_071,0.3339,0.3374,0.0035,0.0035,False
rob_072,0.1243,0.1304,0.0061,0.0061,False
rob_073,0.2534,0.2634,0.0101,0.0101,False
rob_074,0.1284,0.1076,-0.0208,0.0208,False
rob_075,0.1932,0.2021,0.009,0.009,False
rob_076,0.3137,0.3489,0.0353,0.0353,False
rob_077,0.2261,0.228,0.0019,0.0019,False
rob_078,0.3146,0.3288,0.0142,0.0142,False
rob_079,0.2483,0.2406,-0.0076,0.0076,False
rob_080,0.148,0.1209,-0.0271,0.0271,False
rob_081,0.2153,0.2273,0.012,0.012,False
rob_082,0.1293,0.1456,0.0164,0.0164,False
rob_083,0.2887,0.3026,0.0139,0.0139,False
rob_084,0.2624,0.2758,0.0134,0.0134,False
rob_085,0.1807,0.1678,-0.0129,0.0129,False
rob_086,0.2608,0.275,0.0142,0.0142,False
rob_087,0.1559,0.1689,0.013,0.013,False
rob_088,0.2533,0.2594,0.0061,0.0061,False
rob_089,0.2988,0.2917,-0.0071,0.0071,False
rob_090,0.3197,0.318,-0.0017,0.0017,False
rob_091,0.1164,0.1272,0.0108,0.0108,False
rob_092,0.1077,0.0994,-0.0082,0.0082,False
rob_093,0.182,0.1844,0.0024,0.0024,False
rob_094,0.2479,0.2579,0.0099,0.0099,False
rob_095,0.2809,0.2984,0.0175,0.0175,False
rob_096,0.1822,0.1745,-0.0077,0.0077,False
rob_097,0.3198,0.3568,0.0369,0.0369,False
rob_098,0.1396,0.1134,-0.0261,0.0261,False
rob_099,0.3365,0.3271,-0.0094,0.0094,False
