Error_Category,Evaluated_Samples,True_Positives,False_Positives,False_Negatives,Precision,Recall,F1_Score
NUMERICAL,75,71,2,4,0.9726,0.9467,0.9595
UNIT,75,71,3,4,0.9595,0.9467,0.953
TEMPORAL,75,71,2,4,0.9726,0.9467,0.9595
NEGATION,75,71,1,4,0.9861,0.9467,0.966
CAUSAL,75,70,2,5,0.9722,0.9333,0.9524
ENTITY,75,72,2,3,0.973,0.96,0.9664
CONTRADICTION,75,69,2,6,0.9718,0.92,0.9452
UNSUPPORTED_ELABORATION,75,69,2,6,0.9718,0.92,0.9452
FALSE_ATTRIBUTION,75,72,2,3,0.973,0.96,0.9664
OUT_OF_DOMAIN,75,71,1,4,0.9861,0.9467,0.966
