Bin_Range,Sample_Count,Raw_Mean_Predicted,Raw_Observed_Rate,Raw_Calib_Error,Platt_Mean_Predicted,Platt_Observed_Rate,Platt_Calib_Error
"[0.00, 0.10]",283,0.0311,0.0035,0.0275,0.0298,0.0034,0.0264
"[0.10, 0.20]",77,0.1435,0.013,0.1305,0.1454,0.0145,0.1309
"[0.20, 0.30]",41,0.2454,0.1707,0.0746,0.2428,0.1622,0.0806
"[0.30, 0.40]",21,0.3463,0.4286,0.0822,0.3478,0.2941,0.0537
"[0.40, 0.50]",20,0.4552,0.75,0.2948,0.4494,0.8421,0.3927
"[0.50, 0.60]",28,0.5536,0.9643,0.4107,0.5535,0.9286,0.3751
"[0.60, 0.70]",33,0.6552,1.0,0.3448,0.6453,1.0,0.3547
"[0.70, 0.80]",57,0.7562,0.9825,0.2262,0.7495,0.9804,0.2309
"[0.80, 0.90]",85,0.8525,1.0,0.1475,0.8528,1.0,0.1472
"[0.90, 1.00]",205,0.9603,1.0,0.0397,0.9621,1.0,0.0379
