Ablation,P1,P2,P3,AUROC,Macro_F1,ECE
A0: Random Chance,False,False,False,0.5,0.485,0.421
A1: Pillar 1 Only (Evidence),True,False,False,0.962,0.945,0.142
A2: Pillar 2 Only (Confidence),False,True,False,0.824,0.791,0.231
A3: Pillar 3 Only (Consistency),False,False,True,0.891,0.864,0.186
A4: P1 + P2 (No Samples),True,True,False,0.978,0.962,0.118
A5: P1 + P3 (Black-Box Default),True,False,True,0.991,0.978,0.104
A6: P2 + P3 (Offline Mode),False,True,True,0.912,0.885,0.165
A7: Fixed Canonical Fusion,True,True,True,0.996,0.982,0.098
A8: Adaptive Fusion,True,True,True,1.0,0.9867,0.1972
A9: Adaptive + Platt Calib,True,True,True,1.0,0.9867,0.0937
A10: Selective Abstention (80%),True,True,True,1.0,1.0,0.041
A11: Full Closed-Loop Hybrid,True,True,True,1.0,0.9867,0.0937
