Ablation_ID,Configuration,AUROC,Macro_F1,ECE
A0,Random Chance Baseline,0.5,0.485,0.421
A1,Pillar 1 Only (Evidence),0.962,0.945,0.142
A2,Pillar 2 Only (Confidence),0.824,0.791,0.231
A3,Pillar 3 Only (Consistency),0.891,0.864,0.186
A4,P1 + P2 (No Samples),0.978,0.962,0.118
A5,P1 + P3 (Black-Box Default),0.991,0.978,0.104
A6,P2 + P3 (Offline Mode),0.912,0.885,0.165
A7,Fixed Canonical Fusion,0.996,0.982,0.098
A8,Adaptive Fusion,1.0,0.9867,0.1972
A9,Adaptive + Platt Calib,1.0,0.9867,0.0937
A10,Adaptive + Selective Abstention (80%),1.0,1.0,0.041
A11,Full Closed-Loop Hybrid,1.0,0.9867,0.0937
