bin_idx,bin_range,sample_count,mean_predicted_h,observed_hallucination_rate,calibration_error,weighted_ece_contribution
1,"[0.00, 0.10]",163,0.0204,0.0798,0.0593,0.0129
2,"[0.10, 0.20]",185,0.1312,0.2757,0.1444,0.0356
3,"[0.20, 0.30]",0,0.25,0.0,0.0,0.0
4,"[0.30, 0.40]",0,0.35,0.0,0.0,0.0
5,"[0.40, 0.50]",64,0.4706,0.1875,0.2831,0.0242
6,"[0.50, 0.60]",64,0.5018,0.3906,0.1112,0.0095
7,"[0.60, 0.70]",0,0.65,0.0,0.0,0.0
8,"[0.70, 0.80]",12,0.7865,1.0,0.2135,0.0034
9,"[0.80, 0.90]",0,0.85,0.0,0.0,0.0
10,"[0.90, 1.00]",262,0.9921,1.0,0.0079,0.0028
