domain,sample_count,accuracy,precision,recall,f1,auroc,ece,brier,mean_latency_ms,p50_latency_ms,p95_latency_ms
Biology,50,1.0,1.0,1.0,1.0,1.0,0.1334,0.0627,3434.74,3318.07,4659.26
Chemistry,50,0.74,0.6579,1.0,0.7937,0.7504,0.013,0.1256,3386.45,3283.37,4615.11
Computer Science,50,0.76,1.0,0.52,0.6842,0.7504,0.3089,0.2414,3415.52,3319.51,4564.45
Finance,50,0.74,1.0,0.48,0.6486,0.7296,0.3257,0.244,3436.77,3315.32,4785.29
General Knowledge,50,1.0,1.0,1.0,1.0,1.0,0.064,0.0115,3427.05,3315.59,4648.75
Geography,50,1.0,1.0,1.0,1.0,1.0,0.0143,0.0004,3440.62,3315.64,4904.55
History,50,0.74,1.0,0.48,0.6486,0.7504,0.2784,0.2389,3481.88,3353.23,4862.91
Law,50,0.74,1.0,0.48,0.6486,1.0,0.1905,0.1898,3473.2,3367.14,4945.23
Literature,50,1.0,1.0,1.0,1.0,1.0,0.0413,0.0059,3536.13,3440.7,4529.89
Mathematics,50,1.0,1.0,1.0,1.0,1.0,0.0384,0.0031,3550.72,3437.75,4791.56
Medicine,50,1.0,1.0,1.0,1.0,1.0,0.1631,0.0691,3380.06,3286.81,4446.95
News,50,0.74,0.6579,1.0,0.7937,1.0,0.168,0.0711,3398.67,3295.26,4699.27
Physics,50,0.74,0.6579,1.0,0.7937,1.0,0.1576,0.0688,3421.14,3310.25,4660.9
Politics,50,0.74,1.0,0.48,0.6486,0.7296,0.3245,0.2428,3427.17,3322.47,4634.97
Science,50,0.76,1.0,0.52,0.6842,1.0,0.1586,0.0724,3455.5,3284.84,4869.59
