id,fusion_mode,available_pillars,missing_pillars,raw_weights,effective_weights,pillar_scores,weighted_contributions,reconstructed_h_score,stored_h_score,absolute_error
gen_0001,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0002,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0003,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0004,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0005,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0006,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
gen_0007,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.05, ""cg"": null, ""cf"": null}","{""p1"": 0.05, ""p2"": 0.0, ""p3"": 0.0}",0.05,0.05,0.0000000000e+00
gen_0008,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.7865, ""cg"": null, ""cf"": null}","{""p1"": 0.7865, ""p2"": 0.0, ""p3"": 0.0}",0.7865,0.7865,0.0000000000e+00
gen_0009,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.0021, ""cg"": null, ""cf"": null}","{""p1"": 0.0021, ""p2"": 0.0, ""p3"": 0.0}",0.0021,0.0021,0.0000000000e+00
gen_0010,PARTIAL_RENORMALIZED,P1,P2+P3,"{""alpha"": 0.45, ""beta"": 0.3, ""gamma"": 0.25}","{""alpha"": 1.0, ""beta"": 0.0, ""gamma"": 0.0}","{""fe"": 0.9992, ""cg"": null, ""cf"": null}","{""p1"": 0.9992, ""p2"": 0.0, ""p3"": 0.0}",0.9992,0.9992,0.0000000000e+00
