id,domain,ground_truth,p1_available,p2_available,p3_available,fusion_mode,p1_score,p2_score,p3_score,h_score
gen_0001,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0002,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0003,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0004,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0005,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0006,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0007,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0008,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0009,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0010,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0011,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0012,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0013,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0014,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0015,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0016,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0017,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0018,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0019,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0020,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0021,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0022,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0023,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0024,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0025,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0026,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0027,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0028,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0029,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0030,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0031,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0032,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0033,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0034,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0035,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0036,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0037,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0038,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0039,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0040,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0041,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
gen_0042,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.9992,,,0.9992
gen_0043,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.05,,,0.05
gen_0044,General Knowledge,1,True,False,False,PARTIAL_RENORMALIZED,0.7865,,,0.7865
gen_0045,General Knowledge,0,True,False,False,PARTIAL_RENORMALIZED,0.0021,,,0.0021
