Recall,Precision
1.0,0.5
1.0,0.50882
1.0,0.517956
1.0,0.527426
1.0,0.537249
1.0,0.546647
1.0,0.55638
1.0,0.566465
1.0,0.576923
1.0,0.587774
1.0,0.6
0.965333,0.616695
0.965333,0.658182
0.965333,0.672862
0.965333,0.688213
0.965333,0.70428
0.930667,0.731656
0.930667,0.750538
0.898667,0.765909
0.864,0.780723
0.829333,0.773632
0.829333,0.799486
0.797333,0.793103
0.797333,0.821429
0.797333,0.851852
0.797333,0.884615
0.765333,0.880368
0.765333,0.916933
0.730667,0.913333
0.730667,0.954704
0.730667,1.0
0.698667,1.0
0.666667,1.0
0.634667,1.0
0.602667,1.0
0.568,1.0
0.536,1.0
0.504,1.0
0.469333,1.0
0.437333,1.0
0.402667,1.0
0.368,1.0
0.333333,1.0
0.269333,1.0
0.234667,1.0
0.2,1.0
0.168,1.0
0.136,1.0
0.0,1.0
