domain,n,accuracy,precision,recall,f1,auroc,auprc,ece,brier,p50_latency_ms
General Knowledge,50,0.7,1.0,0.4,0.5714,0.7872,0.8145,0.3032,0.2681,3489.4300000000003
Medicine,50,0.58,0.8333,0.2,0.3226,0.296,0.5288,0.5391,0.4149,11595.375
Law,50,0.48,0.3333,0.04,0.0714,0.5408,0.558,0.3058,0.3439,14237.115
Finance,50,0.52,1.0,0.04,0.0769,0.624,0.5664,0.3682,0.368,18562.614999999998
History,50,0.44,0.3846,0.2,0.2632,0.424,0.4361,0.4074,0.3832,5796.785
Science,50,0.66,0.7857,0.44,0.5641,0.6672,0.7209,0.2311,0.2441,8008.21
Computer Science,50,0.44,0.2,0.04,0.0667,0.2688,0.3641,0.4824,0.4596,16669.125
Physics,50,0.52,1.0,0.04,0.0769,0.7432,0.73,0.3206,0.3131,16222.25
Biology,50,0.5,0.0,0.0,0.0,0.7296,0.8045,0.293,0.2871,10861.435
Chemistry,50,0.74,0.8333,0.6,0.6977,0.7552,0.7882,0.224,0.2204,9215.060000000001
News,50,0.62,1.0,0.24,0.3871,0.7344,0.7364,0.2313,0.2208,19701.47
Mathematics,50,0.56,1.0,0.12,0.2143,0.412,0.5315,0.4425,0.4036,21038.295
Geography,50,0.78,0.7917,0.76,0.7755,0.7024,0.6335,0.2747,0.2209,7153.280000000001
Politics,50,0.58,1.0,0.16,0.2759,0.6032,0.6825,0.2562,0.306,13653.76
Literature,50,0.48,0.4,0.08,0.1333,0.3592,0.4515,0.469,0.4445,5309.615
