sample_id,fusion_mode,p1_score,p2_score,p3_score,predicted_h_score,reconstructed_h_score,fusion_absolute_error
gen_0001,PARTIAL_RENORMALIZED,0.0024,,0.0051,0.0034,0.0034,0.0
gen_0002,PARTIAL_RENORMALIZED,0.05,,0.017,0.0382,0.0382,0.0
gen_0003,PARTIAL_RENORMALIZED,0.4915,,0.0565,0.3362,0.3362,0.0
gen_0004,PARTIAL_RENORMALIZED,1.0,,0.4961,0.8201,0.8201,0.0
gen_0005,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016,0.0016,0.0
gen_0006,PARTIAL_RENORMALIZED,0.5236,,0.0575,0.3572,0.3572,0.0
gen_0007,PARTIAL_RENORMALIZED,0.1125,,0.0523,0.091,0.091,0.0
gen_0008,PARTIAL_RENORMALIZED,0.5008,,0.2696,0.4182,0.4182,0.0
gen_0009,PARTIAL_RENORMALIZED,0.0027,,0.0101,0.0053,0.0053,0.0
gen_0010,PARTIAL_RENORMALIZED,0.3357,,0.0576,0.2364,0.2364,0.0
gen_0011,PARTIAL_RENORMALIZED,0.0746,,0.2352,0.132,0.132,0.0
gen_0012,PARTIAL_RENORMALIZED,0.7434,,0.387,0.6161,0.6161,0.0
gen_0013,PARTIAL_RENORMALIZED,0.0027,,0.0151,0.0071,0.0071,0.0
gen_0014,PARTIAL_RENORMALIZED,0.05,,0.02,0.0393,0.0393,0.0
gen_0015,PARTIAL_RENORMALIZED,0.4856,,0.0716,0.3378,0.3378,0.0
gen_0016,PARTIAL_RENORMALIZED,0.7578,,0.4737,0.6563,0.6563,0.0
gen_0017,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016,0.0016,0.0
gen_0018,PARTIAL_RENORMALIZED,0.3654,,0.0968,0.2695,0.2695,0.0
gen_0019,PARTIAL_RENORMALIZED,0.402,,0.0869,0.2895,0.2895,0.0
gen_0020,PARTIAL_RENORMALIZED,1.0,,0.503,0.8225,0.8225,0.0
gen_0021,PARTIAL_RENORMALIZED,0.0024,,0.0051,0.0034,0.0034,0.0
gen_0022,PARTIAL_RENORMALIZED,0.05,,0.0002,0.0322,0.0322,0.0
gen_0023,PARTIAL_RENORMALIZED,0.005,,0.1048,0.0406,0.0406,0.0
gen_0024,PARTIAL_RENORMALIZED,0.0046,,0.3573,0.1305,0.1305,0.0
gen_0025,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016,0.0016,0.0
gen_0026,PARTIAL_RENORMALIZED,0.0339,,0.0466,0.0384,0.0384,0.0
gen_0027,PARTIAL_RENORMALIZED,0.1403,,0.0923,0.1232,0.1232,0.0
gen_0028,PARTIAL_RENORMALIZED,0.7464,,0.4691,0.6474,0.6474,0.0
gen_0029,PARTIAL_RENORMALIZED,0.0024,,0.0051,0.0034,0.0034,0.0
gen_0030,PARTIAL_RENORMALIZED,0.05,,0.0216,0.0399,0.0399,0.0
gen_0031,PARTIAL_RENORMALIZED,0.1577,,0.06,0.1228,0.1228,0.0
gen_0032,PARTIAL_RENORMALIZED,1.0,,0.3601,0.7715,0.7715,0.0
gen_0033,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016,0.0016,0.0
gen_0034,PARTIAL_RENORMALIZED,0.05,,0.0295,0.0427,0.0427,0.0
gen_0035,PARTIAL_RENORMALIZED,0.2038,,0.069,0.1557,0.1557,0.0
gen_0036,PARTIAL_RENORMALIZED,1.0,,0.3733,0.7762,0.7762,0.0
gen_0037,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016,0.0016,0.0
gen_0038,PARTIAL_RENORMALIZED,0.05,,0.0002,0.0322,0.0322,0.0
gen_0039,PARTIAL_RENORMALIZED,0.5606,,0.0278,0.3703,0.3703,0.0
gen_0040,PARTIAL_RENORMALIZED,0.7019,,0.4707,0.6193,0.6193,0.0
gen_0041,PARTIAL_RENORMALIZED,0.0024,,0.0051,0.0034,0.0034,0.0
gen_0042,PARTIAL_RENORMALIZED,0.05,,0.0353,0.0448,0.0448,0.0
gen_0043,PARTIAL_RENORMALIZED,0.5113,,0.0537,0.3479,0.3479,0.0
gen_0044,PARTIAL_RENORMALIZED,0.6596,,0.3273,0.5409,0.5409,0.0
gen_0045,PARTIAL_RENORMALIZED,0.0027,,0.0151,0.0071,0.0071,0.0
gen_0046,PARTIAL_RENORMALIZED,0.1,,0.0751,0.0911,0.0911,0.0
