sample_id,domain,ground_truth,p1_available,p2_available,p3_available,fusion_mode,p1_score,p2_score,p3_score,predicted_h_score
gen_0001,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0024,,0.0051,0.0034
gen_0002,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.05,,0.017,0.0382
gen_0003,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.4915,,0.0565,0.3362
gen_0004,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.4961,0.8201
gen_0005,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016
gen_0006,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.5236,,0.0575,0.3572
gen_0007,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.1125,,0.0523,0.091
gen_0008,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.5008,,0.2696,0.4182
gen_0009,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0027,,0.0101,0.0053
gen_0010,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.3357,,0.0576,0.2364
gen_0011,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0746,,0.2352,0.132
gen_0012,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.7434,,0.387,0.6161
gen_0013,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0027,,0.0151,0.0071
gen_0014,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.05,,0.02,0.0393
gen_0015,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.4856,,0.0716,0.3378
gen_0016,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.7578,,0.4737,0.6563
gen_0017,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0024,,0.0001,0.0016
gen_0018,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.3654,,0.0968,0.2695
gen_0019,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.402,,0.0869,0.2895
gen_0020,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,1.0,,0.503,0.8225
gen_0021,General Knowledge,0,True,False,True,PARTIAL_RENORMALIZED,0.0024,,0.0051,0.0034
gen_0022,General Knowledge,1,True,False,True,PARTIAL_RENORMALIZED,0.05,,0.0002,0.0322
