domain,n,phase6_accuracy,phase7_accuracy,accuracy_delta,phase6_f1,phase7_f1,f1_delta,phase6_auroc,phase7_auroc,auroc_delta,phase6_ece,phase7_ece,ece_delta,phase6_p1_mean,phase7_p1_mean,p1_mean_delta
General Knowledge,50,1.0,0.7,-0.3,1.0,0.5714,-0.4286,1.0,0.7872,-0.2128,0.064,0.3032,0.2392,0.4611,0.2831,-0.178
Medicine,50,1.0,0.58,-0.42,1.0,0.3226,-0.6774,1.0,0.296,-0.704,0.1631,0.5391,0.376,0.4034,0.2998,-0.1036
Law,50,0.74,0.48,-0.26,0.6486,0.0714,-0.5772,1.0,0.5408,-0.4592,0.1905,0.3058,0.1153,0.3108,0.2509,-0.0599
Finance,50,0.74,0.52,-0.22,0.6486,0.0769,-0.5717,0.7296,0.624,-0.1056,0.3257,0.3682,0.0425,0.4333,0.2334,-0.1999
History,50,0.74,0.44,-0.3,0.6486,0.2632,-0.3854,0.7504,0.424,-0.3264,0.2784,0.4074,0.129,0.2856,0.3426,0.057
Science,50,0.76,0.66,-0.1,0.6842,0.5641,-0.1201,1.0,0.6672,-0.3328,0.1586,0.2311,0.0725,0.3999,0.508,0.1081
Computer Science,50,0.76,0.44,-0.32,0.6842,0.0667,-0.6175,0.7504,0.2688,-0.4816,0.3089,0.4824,0.1735,0.4511,0.2231,-0.228
Physics,50,0.74,0.52,-0.22,0.7937,0.0769,-0.7168,1.0,0.7432,-0.2568,0.1576,0.3206,0.163,0.6539,0.1814,-0.4725
Biology,50,1.0,0.5,-0.5,1.0,0.0,-1.0,1.0,0.7296,-0.2704,0.1334,0.293,0.1596,0.6296,0.2951,-0.3345
Chemistry,50,0.74,0.74,0.0,0.7937,0.6977,-0.096,0.7504,0.7552,0.0048,0.013,0.224,0.211,0.513,0.5245,0.0115
News,50,0.74,0.62,-0.12,0.7937,0.3871,-0.4066,1.0,0.7344,-0.2656,0.168,0.2313,0.0633,0.6676,0.3951,-0.2725
Mathematics,50,1.0,0.56,-0.44,1.0,0.2143,-0.7857,1.0,0.412,-0.588,0.0384,0.4425,0.4041,0.5356,0.1398,-0.3958
Geography,50,1.0,0.78,-0.22,1.0,0.7755,-0.2245,1.0,0.7024,-0.2976,0.0143,0.2747,0.2604,0.5138,0.5953,0.0815
Politics,50,0.74,0.58,-0.16,0.6486,0.2759,-0.3727,0.7296,0.6032,-0.1264,0.3245,0.2562,-0.0683,0.3849,0.3042,-0.0806
Literature,50,1.0,0.48,-0.52,1.0,0.1333,-0.8667,1.0,0.3592,-0.6408,0.0413,0.469,0.4277,0.5405,0.1469,-0.3936
