sample_id,domain,ground_truth,p3_score,p3_category,semantic_variance
gen_0001,General Knowledge,0,0.0051,HIGH_CONSISTENCY_TRUE,0.0051
gen_0002,General Knowledge,1,0.017,CONSISTENT_HALLUCINATION,0.017
gen_0003,General Knowledge,0,0.0565,HIGH_CONSISTENCY_TRUE,0.0565
gen_0004,General Knowledge,1,0.4961,INCONSISTENT_HALLUCINATION,0.4961
gen_0005,General Knowledge,0,0.0001,HIGH_CONSISTENCY_TRUE,0.0001
gen_0006,General Knowledge,1,0.0575,CONSISTENT_HALLUCINATION,0.0575
gen_0007,General Knowledge,0,0.0523,HIGH_CONSISTENCY_TRUE,0.0523
gen_0008,General Knowledge,1,0.2696,INCONSISTENT_HALLUCINATION,0.2696
gen_0009,General Knowledge,0,0.0101,HIGH_CONSISTENCY_TRUE,0.0101
gen_0010,General Knowledge,1,0.0576,CONSISTENT_HALLUCINATION,0.0576
gen_0011,General Knowledge,0,0.2352,INCONSISTENT_TRUE,0.2352
gen_0012,General Knowledge,1,0.387,INCONSISTENT_HALLUCINATION,0.387
gen_0013,General Knowledge,0,0.0151,HIGH_CONSISTENCY_TRUE,0.0151
gen_0014,General Knowledge,1,0.02,CONSISTENT_HALLUCINATION,0.02
gen_0015,General Knowledge,0,0.0716,HIGH_CONSISTENCY_TRUE,0.0716
gen_0016,General Knowledge,1,0.4737,INCONSISTENT_HALLUCINATION,0.4737
gen_0017,General Knowledge,0,0.0001,HIGH_CONSISTENCY_TRUE,0.0001
gen_0018,General Knowledge,1,0.0968,CONSISTENT_HALLUCINATION,0.0968
gen_0019,General Knowledge,0,0.0869,HIGH_CONSISTENCY_TRUE,0.0869
gen_0020,General Knowledge,1,0.503,INCONSISTENT_HALLUCINATION,0.503
gen_0021,General Knowledge,0,0.0051,HIGH_CONSISTENCY_TRUE,0.0051
gen_0022,General Knowledge,1,0.0002,CONSISTENT_HALLUCINATION,0.0002
gen_0023,General Knowledge,0,0.1048,HIGH_CONSISTENCY_TRUE,0.1048
gen_0024,General Knowledge,1,0.3573,INCONSISTENT_HALLUCINATION,0.3573
gen_0025,General Knowledge,0,0.0001,HIGH_CONSISTENCY_TRUE,0.0001
gen_0026,General Knowledge,1,0.0466,CONSISTENT_HALLUCINATION,0.0466
gen_0027,General Knowledge,0,0.0923,HIGH_CONSISTENCY_TRUE,0.0923
gen_0028,General Knowledge,1,0.4691,INCONSISTENT_HALLUCINATION,0.4691
gen_0029,General Knowledge,0,0.0051,HIGH_CONSISTENCY_TRUE,0.0051
gen_0030,General Knowledge,1,0.0216,CONSISTENT_HALLUCINATION,0.0216
gen_0031,General Knowledge,0,0.06,HIGH_CONSISTENCY_TRUE,0.06
gen_0032,General Knowledge,1,0.3601,INCONSISTENT_HALLUCINATION,0.3601
