sample_id,domain,ground_truth,phase6_evidence_overlap,phase7_evidence_overlap,phase6_leakage_classification,evidence_source
gen_0001,General Knowledge,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0002,General Knowledge,1,1.0,0.75,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0003,General Knowledge,0,1.0,0.3125,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0004,General Knowledge,1,1.0,0.3571,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0005,General Knowledge,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0006,General Knowledge,1,1.0,0.1364,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0007,General Knowledge,0,1.0,0.4545,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0008,General Knowledge,1,1.0,0.1176,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0009,General Knowledge,0,1.0,0.5714,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0010,General Knowledge,1,1.0,0.2609,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0011,General Knowledge,0,1.0,0.2174,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0012,General Knowledge,1,1.0,0.2105,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0013,General Knowledge,0,1.0,0.5714,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0014,General Knowledge,1,1.0,0.75,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0015,General Knowledge,0,1.0,0.4211,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0016,General Knowledge,1,1.0,0.1143,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0017,General Knowledge,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0018,General Knowledge,1,1.0,0.1875,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0019,General Knowledge,0,1.0,0.28,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0020,General Knowledge,1,1.0,0.3846,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0021,General Knowledge,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0022,General Knowledge,1,1.0,0.75,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0023,General Knowledge,0,1.0,0.625,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0024,General Knowledge,1,1.0,0.6667,MODERATE,Wikipedia / Synthetic Reference Corpora
gen_0025,General Knowledge,0,1.0,0.6667,HIGH,Wikipedia / Synthetic Reference Corpora
gen_0026,General Knowledge,1,1.0,0.1579,MODERATE,Wikipedia / Synthetic Reference Corpora
