threshold,val_accuracy,val_precision,val_recall,val_f1,val_specificity,val_mcc
0.05,0.5143,0.5212,0.7269,0.6071,0.2874,0.016
0.1,0.5295,0.5375,0.6347,0.5821,0.4173,0.0533
0.15,0.5314,0.5427,0.5867,0.5638,0.4724,0.0595
0.2,0.5524,0.5677,0.5572,0.5624,0.5472,0.1044
0.25,0.5581,0.5809,0.5166,0.5469,0.6024,0.1193
0.3,0.5714,0.6139,0.4576,0.5243,0.6929,0.1546
0.35,0.5676,0.6341,0.3838,0.4782,0.7638,0.1591
0.4,0.5771,0.7207,0.2952,0.4188,0.878,0.2119
0.45,0.5714,0.7396,0.262,0.3869,0.9016,0.2115
0.5,0.5619,0.7531,0.2251,0.3466,0.9213,0.2025
0.55,0.5467,0.7391,0.1882,0.3,0.9291,0.1735
0.6,0.5429,0.7541,0.1697,0.2771,0.9409,0.1726
0.65,0.5143,0.6905,0.107,0.1853,0.9488,0.1028
0.7,0.4933,0.6923,0.0332,0.0634,0.9843,0.0562
0.75,0.4857,0.5714,0.0148,0.0288,0.9882,0.0128
0.8,0.4838,0.5,0.0111,0.0217,0.9882,-0.0035
0.85,0.4838,0.0,0.0,0.0,1.0,0.0
0.9,0.4838,0.0,0.0,0.0,1.0,0.0
0.95,0.4838,0.0,0.0,0.0,1.0,0.0
