n,threshold,TP,FN,FP,TN,detection_rate,recall,precision,f1,mean_h_score,median_h_score,brier_score,ece,auroc_note,corruption_type,severity
30,0.5,20,10,0,0,0.6667,0.6667,1.0,0.8,0.6886,0.901,0.1983,0.3114,UNDEFINED — only one class present (all GT=1),CONTRADICTION,4
30,0.5,20,10,0,0,0.6667,0.6667,1.0,0.8,0.7197,0.9904,0.214,0.2803,UNDEFINED — only one class present (all GT=1),PARTIAL_CLAIM_CORRUPTION,1
30,0.5,17,13,0,0,0.5667,0.5667,1.0,0.7234,0.5963,0.5037,0.2716,0.4037,UNDEFINED — only one class present (all GT=1),NUMERIC_SUBSTITUTION,2
30,0.5,14,16,0,0,0.4667,0.4667,1.0,0.6364,0.5703,0.3997,0.2695,0.4297,UNDEFINED — only one class present (all GT=1),CAUSAL_REVERSAL,3
30,0.5,13,17,0,0,0.4333,0.4333,1.0,0.6047,0.5669,0.3376,0.2781,0.4331,UNDEFINED — only one class present (all GT=1),TEMPORAL_ERROR,2
30,0.5,12,18,0,0,0.4,0.4,1.0,0.5714,0.5415,0.3932,0.2944,0.4585,UNDEFINED — only one class present (all GT=1),LOCATION_SUBSTITUTION,2
30,0.5,11,19,0,0,0.3667,0.3667,1.0,0.5366,0.5535,0.3867,0.3059,0.4465,UNDEFINED — only one class present (all GT=1),ENTITY_SUBSTITUTION,2
30,0.5,11,19,0,0,0.3667,0.3667,1.0,0.5366,0.531,0.3345,0.3125,0.469,UNDEFINED — only one class present (all GT=1),DATE_SUBSTITUTION,2
30,0.5,10,20,0,0,0.3333,0.3333,1.0,0.5,0.5244,0.3406,0.3086,0.4756,UNDEFINED — only one class present (all GT=1),PERSON_SUBSTITUTION,2
30,0.5,10,20,0,0,0.3333,0.3333,1.0,0.5,0.5217,0.387,0.2847,0.4783,UNDEFINED — only one class present (all GT=1),MULTI_CLAIM_CORRUPTION,3
