threshold,n,confusion_matrix,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,auroc,auprc,brier_score,ece,fpr,fnr,domain,label_shift_count,mean_h_score,median_h_score
0.5,50,"{'TP': 10, 'TN': 32, 'FP': 0, 'FN': 8}",0.84,1.0,0.5556,1.0,0.7143,0.7778,0.6667,1.0,1.0,0.0933,0.1885,0.0,0.4444,General Knowledge,12,0.2268,0.0946
0.5,50,"{'TP': 6, 'TN': 26, 'FP': 0, 'FN': 18}",0.64,1.0,0.25,1.0,0.4,0.625,0.3844,0.9984,0.9983,0.1745,0.2906,0.0,0.75,Medicine,19,0.2352,0.2552
0.5,50,"{'TP': 3, 'TN': 27, 'FP': 0, 'FN': 20}",0.6,1.0,0.1304,1.0,0.2308,0.5652,0.2737,0.9919,0.9898,0.1851,0.2942,0.0,0.8696,Law,14,0.2178,0.2471
0.5,50,"{'TP': 1, 'TN': 27, 'FP': 0, 'FN': 22}",0.56,1.0,0.0435,1.0,0.0833,0.5217,0.1548,0.9984,0.9981,0.1877,0.2962,0.0,0.9565,Finance,13,0.197,0.1745
0.5,50,"{'TP': 13, 'TN': 33, 'FP': 0, 'FN': 4}",0.92,1.0,0.7647,1.0,0.8667,0.8824,0.8259,0.9982,0.9966,0.0783,0.2021,0.0,0.2353,History,17,0.2952,0.22
0.5,50,"{'TP': 14, 'TN': 18, 'FP': 0, 'FN': 18}",0.64,1.0,0.4375,1.0,0.6087,0.7188,0.4677,0.9983,0.999,0.1787,0.3354,0.0,0.5625,Science,6,0.3791,0.3451
0.5,50,"{'TP': 5, 'TN': 34, 'FP': 0, 'FN': 11}",0.78,1.0,0.3125,1.0,0.4762,0.6562,0.4859,1.0,1.0,0.114,0.1972,0.0,0.6875,Computer Science,22,0.2008,0.1432
0.5,50,"{'TP': 1, 'TN': 35, 'FP': 0, 'FN': 14}",0.72,1.0,0.0667,1.0,0.125,0.5333,0.2182,0.999,0.9979,0.1305,0.2171,0.0,0.9333,Physics,12,0.1794,0.1164
0.5,50,"{'TP': 0, 'TN': 31, 'FP': 0, 'FN': 19}",0.62,0.0,0.0,1.0,0.0,0.5,0.0,0.9898,0.9812,0.1703,0.242,0.0,1.0,Biology,11,0.2294,0.2193
0.5,50,"{'TP': 18, 'TN': 15, 'FP': 0, 'FN': 17}",0.66,1.0,0.5143,1.0,0.6792,0.7571,0.491,1.0,1.0,0.1767,0.363,0.0,0.4857,Chemistry,5,0.3943,0.3832
0.5,50,"{'TP': 6, 'TN': 15, 'FP': 0, 'FN': 29}",0.42,1.0,0.1714,1.0,0.2927,0.5857,0.2417,1.0,1.0,0.2775,0.4312,0.0,0.8286,News,1,0.2836,0.3121
0.5,50,"{'TP': 3, 'TN': 40, 'FP': 0, 'FN': 7}",0.86,1.0,0.3,1.0,0.4615,0.65,0.5053,1.0,1.0,0.0734,0.1336,0.0,0.7,Mathematics,20,0.1354,0.0506
0.5,50,"{'TP': 24, 'TN': 17, 'FP': 0, 'FN': 9}",0.82,1.0,0.7273,1.0,0.8421,0.8636,0.6896,0.9804,0.9899,0.1463,0.3029,0.0,0.2727,Geography,4,0.4511,0.4391
0.5,50,"{'TP': 4, 'TN': 28, 'FP': 0, 'FN': 18}",0.64,1.0,0.1818,1.0,0.3077,0.5909,0.3327,0.9968,0.9961,0.1824,0.283,0.0,0.8182,Politics,13,0.2438,0.2419
0.5,50,"{'TP': 5, 'TN': 42, 'FP': 0, 'FN': 3}",0.94,1.0,0.625,1.0,0.7692,0.8125,0.7638,1.0,1.0,0.0458,0.0929,0.0,0.375,Literature,21,0.1285,0.035
