sample_id,p1,p3,stored_h,reconstructed_h,absolute_error,mode
gen_0001,0.0024,0.0051,0.0034,0.0034,0.0,PARTIAL_RENORMALIZED
gen_0002,0.05,0.017,0.0382,0.0382,0.0,PARTIAL_RENORMALIZED
gen_0003,0.4915,0.0565,0.3362,0.3362,0.0,PARTIAL_RENORMALIZED
gen_0004,1.0,0.4961,0.8201,0.8201,0.0,PARTIAL_RENORMALIZED
gen_0005,0.0024,0.0001,0.0016,0.0016,0.0,PARTIAL_RENORMALIZED
gen_0006,0.5236,0.0575,0.3572,0.3572,0.0,PARTIAL_RENORMALIZED
gen_0007,0.1125,0.0523,0.091,0.091,0.0,PARTIAL_RENORMALIZED
gen_0008,0.5008,0.2696,0.4182,0.4182,0.0,PARTIAL_RENORMALIZED
gen_0009,0.0027,0.0101,0.0053,0.0053,0.0,PARTIAL_RENORMALIZED
gen_0010,0.3357,0.0576,0.2364,0.2364,0.0,PARTIAL_RENORMALIZED
gen_0011,0.0746,0.2352,0.132,0.132,0.0,PARTIAL_RENORMALIZED
gen_0012,0.7434,0.387,0.6161,0.6161,0.0,PARTIAL_RENORMALIZED
gen_0013,0.0027,0.0151,0.0071,0.0071,0.0,PARTIAL_RENORMALIZED
gen_0014,0.05,0.02,0.0393,0.0393,0.0,PARTIAL_RENORMALIZED
gen_0015,0.4856,0.0716,0.3378,0.3378,0.0,PARTIAL_RENORMALIZED
gen_0016,0.7578,0.4737,0.6563,0.6563,0.0,PARTIAL_RENORMALIZED
gen_0017,0.0024,0.0001,0.0016,0.0016,0.0,PARTIAL_RENORMALIZED
gen_0018,0.3654,0.0968,0.2695,0.2695,0.0,PARTIAL_RENORMALIZED
gen_0019,0.402,0.0869,0.2895,0.2895,0.0,PARTIAL_RENORMALIZED
gen_0020,1.0,0.503,0.8225,0.8225,0.0,PARTIAL_RENORMALIZED
gen_0021,0.0024,0.0051,0.0034,0.0034,0.0,PARTIAL_RENORMALIZED
gen_0022,0.05,0.0002,0.0322,0.0322,0.0,PARTIAL_RENORMALIZED
gen_0023,0.005,0.1048,0.0406,0.0406,0.0,PARTIAL_RENORMALIZED
gen_0024,0.0046,0.3573,0.1305,0.1305,0.0,PARTIAL_RENORMALIZED
gen_0025,0.0024,0.0001,0.0016,0.0016,0.0,PARTIAL_RENORMALIZED
gen_0026,0.0339,0.0466,0.0384,0.0384,0.0,PARTIAL_RENORMALIZED
gen_0027,0.1403,0.0923,0.1232,0.1232,0.0,PARTIAL_RENORMALIZED
gen_0028,0.7464,0.4691,0.6474,0.6474,0.0,PARTIAL_RENORMALIZED
gen_0029,0.0024,0.0051,0.0034,0.0034,0.0,PARTIAL_RENORMALIZED
gen_0030,0.05,0.0216,0.0399,0.0399,0.0,PARTIAL_RENORMALIZED
gen_0031,0.1577,0.06,0.1228,0.1228,0.0,PARTIAL_RENORMALIZED
gen_0032,1.0,0.3601,0.7715,0.7715,0.0,PARTIAL_RENORMALIZED
gen_0033,0.0024,0.0001,0.0016,0.0016,0.0,PARTIAL_RENORMALIZED
gen_0034,0.05,0.0295,0.0427,0.0427,0.0,PARTIAL_RENORMALIZED
gen_0035,0.2038,0.069,0.1557,0.1557,0.0,PARTIAL_RENORMALIZED
gen_0036,1.0,0.3733,0.7762,0.7762,0.0,PARTIAL_RENORMALIZED
gen_0037,0.0024,0.0001,0.0016,0.0016,0.0,PARTIAL_RENORMALIZED
