threshold,dataset,n,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,auroc,auprc,brier_score,ece,fpr,fnr
0.05,validation_70pct,525,0.7105,0.5979,1.0,0.4916,0.7483,0.7458,0.5422,0.9969,0.9952,0.1428,0.2434,0.5084,0.0
0.1,validation_70pct,525,0.821,0.7063,1.0,0.6856,0.8278,0.8428,0.6959,0.9969,0.9952,0.1428,0.2434,0.3144,0.0
0.15,validation_70pct,525,0.8724,0.7713,1.0,0.7759,0.8709,0.888,0.7736,0.9969,0.9952,0.1428,0.2434,0.2241,0.0
0.2,validation_70pct,525,0.9238,0.8496,1.0,0.8662,0.9187,0.9331,0.8579,0.9969,0.9952,0.1428,0.2434,0.1338,0.0
0.25,validation_70pct,525,0.9714,0.9378,1.0,0.9498,0.9679,0.9749,0.9438,0.9969,0.9952,0.1428,0.2434,0.0502,0.0
0.3,validation_70pct,525,0.9467,0.9901,0.885,0.9933,0.9346,0.9391,0.8938,0.9969,0.9952,0.1428,0.2434,0.0067,0.115
0.35,validation_70pct,525,0.8781,0.9939,0.7212,0.9967,0.8359,0.8589,0.767,0.9969,0.9952,0.1428,0.2434,0.0033,0.2788
0.4,validation_70pct,525,0.781,1.0,0.4912,1.0,0.6588,0.7456,0.5956,0.9969,0.9952,0.1428,0.2434,0.0,0.5088
0.45,validation_70pct,525,0.7524,1.0,0.4248,1.0,0.5963,0.7124,0.5441,0.9969,0.9952,0.1428,0.2434,0.0,0.5752
0.5,validation_70pct,525,0.7238,1.0,0.3584,1.0,0.5277,0.6792,0.4913,0.9969,0.9952,0.1428,0.2434,0.0,0.6416
0.55,validation_70pct,525,0.701,1.0,0.3053,1.0,0.4678,0.6527,0.4474,0.9969,0.9952,0.1428,0.2434,0.0,0.6947
0.6,validation_70pct,525,0.6857,1.0,0.2699,1.0,0.4251,0.635,0.417,0.9969,0.9952,0.1428,0.2434,0.0,0.7301
0.65,validation_70pct,525,0.6495,1.0,0.1858,1.0,0.3134,0.5929,0.3392,0.9969,0.9952,0.1428,0.2434,0.0,0.8142
0.7,validation_70pct,525,0.5943,1.0,0.0575,1.0,0.1088,0.5288,0.1833,0.9969,0.9952,0.1428,0.2434,0.0,0.9425
0.75,validation_70pct,525,0.5829,1.0,0.031,1.0,0.0601,0.5155,0.1337,0.9969,0.9952,0.1428,0.2434,0.0,0.969
0.8,validation_70pct,525,0.581,1.0,0.0265,1.0,0.0517,0.5133,0.1237,0.9969,0.9952,0.1428,0.2434,0.0,0.9735
0.85,validation_70pct,525,0.5695,0.0,0.0,1.0,0.0,0.5,0.0,0.9969,0.9952,0.1428,0.2434,0.0,1.0
0.9,validation_70pct,525,0.5695,0.0,0.0,1.0,0.0,0.5,0.0,0.9969,0.9952,0.1428,0.2434,0.0,1.0
0.95,validation_70pct,525,0.5695,0.0,0.0,1.0,0.0,0.5,0.0,0.9969,0.9952,0.1428,0.2434,0.0,1.0
