metric,baseline_p1,enhanced_p1,calibrated_hybrid_p1,delta_hybrid_vs_enhanced,delta_hybrid_vs_baseline
accuracy,0.8302,0.7547,0.8302,0.0755,0.0
precision,0.8302,0.9429,0.8302,-0.1127,0.0
recall,1.0,0.75,1.0,0.25,0.0
specificity,0.0,0.7778,0.0,-0.7778,0.0
f1,0.9072,0.8354,0.9072,0.0718,0.0
balanced_accuracy,0.5,0.7639,0.5,-0.2639,0.0
mcc,0.0,0.4184,0.0,-0.4184,0.0
auroc,0.5,0.8788,0.625,-0.2538,0.125
auprc,0.9151,0.972,0.9363,-0.0357,0.0212
ece,0.3302,0.1974,0.0604,-0.137,-0.2698
brier_score,0.25,0.1683,0.1371,-0.0312,-0.1129
